Number,Type,Congress,Title,Url
989,S,117,Native American Language Resource Center Act of 2022,https://api.congress.gov/v3/bill/117/s/989?format=xml
3168,S,117,"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to modify the enforceability date for certain provisions, and for other purposes.",https://api.congress.gov/v3/bill/117/s/3168?format=xml
680,HR,117,"For the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar.",https://api.congress.gov/v3/bill/117/hr/680?format=xml
1082,HR,117,Sami's Law,https://api.congress.gov/v3/bill/117/hr/1082?format=xml
5087,S,117,"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes.",https://api.congress.gov/v3/bill/117/s/5087?format=xml
5328,S,117,A bill to amend the Farm Security and Rural Investment Act of 2002 to extend terminal lakes assistance.,https://api.congress.gov/v3/bill/117/s/5328?format=xml
2333,S,117,Equal Pay for Team USA Act of 2022,https://api.congress.gov/v3/bill/117/s/2333?format=xml
1541,S,117,Martha Wright-Reed Just and Reasonable Communications Act of 2022,https://api.congress.gov/v3/bill/117/s/1541?format=xml
450,S,117,Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021,https://api.congress.gov/v3/bill/117/s/450?format=xml
3308,S,117,Colorado River Indian Tribes Water Resiliency Act of 2022,https://api.congress.gov/v3/bill/117/s/3308?format=xml
2834,S,117,Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022,https://api.congress.gov/v3/bill/117/s/2834?format=xml
3405,S,117,Low Power Protection Act,https://api.congress.gov/v3/bill/117/s/3405?format=xml
1154,HR,117,Great Dismal Swamp National Heritage Area Act,https://api.congress.gov/v3/bill/117/hr/1154?format=xml
1917,HR,117,Hazard Eligibility and Local Projects Act,https://api.congress.gov/v3/bill/117/hr/1917?format=xml
897,HR,117,Agua Caliente Land Exchange Fee to Trust Confirmation Act,https://api.congress.gov/v3/bill/117/hr/897?format=xml
8203,HR,117,"To designate the facility of the United States Postal Service located at 651 Business Interstate Highway 35 North Suite 420 in New Braunfels, Texas, as the ""Bob Krueger Post Office"".",https://api.congress.gov/v3/bill/117/hr/8203?format=xml
9308,HR,117,"To designate the facility of the United States Postal Service located at 6401 El Cajon Boulevard in San Diego, California, as the ""Susan A. Davis Post Office"".",https://api.congress.gov/v3/bill/117/hr/9308?format=xml
7,S,117,VAWA Technical Amendment Act of 2022,https://api.congress.gov/v3/bill/117/s/7?format=xml
789,S,117,RESPECT Act,https://api.congress.gov/v3/bill/117/s/789?format=xml
1466,S,117,Saline Lake Ecosystems in the Great Basin States Program Act of 2022,https://api.congress.gov/v3/bill/117/s/1466?format=xml
2607,S,117,Iran Hostages Congressional Gold Medal Act,https://api.congress.gov/v3/bill/117/s/2607?format=xml
2899,S,117,Prison Camera Reform Act of 2021,https://api.congress.gov/v3/bill/117/s/2899?format=xml
2991,S,117,Countering Human Trafficking Act of 2021,https://api.congress.gov/v3/bill/117/s/2991?format=xml
3846,S,117,Justice and Mental Health Collaboration Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/s/3846?format=xml
4003,S,117,Law Enforcement De-Escalation Training Act of 2022,https://api.congress.gov/v3/bill/117/s/4003?format=xml
5230,S,117,Billy's Law,https://api.congress.gov/v3/bill/117/s/5230?format=xml
8226,HR,117,"To designate the facility of the United States Postal Service located at 236 Concord Exchange North in South Saint Paul, Minnesota, as the ""Officer Leo Pavlak Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/8226?format=xml
8260,HR,117,Faster Payments to Veterans' Survivors Act of 2022,https://api.congress.gov/v3/bill/117/hr/8260?format=xml
8025,HR,117,"To designate the facility of the United States Postal Service located at 100 South 1st Street in Minneapolis, Minnesota, as the ""Martin Olav Sabo Post Office"".",https://api.congress.gov/v3/bill/117/hr/8025?format=xml
8026,HR,117,"To designate the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the ""Charles W. Lindberg Post Office"".",https://api.congress.gov/v3/bill/117/hr/8026?format=xml
2473,HR,117,"To designate the facility of the United States Postal Service located at 275 Penn Avenue in Salem, Ohio, as the ""Howard Arthur Tibbs Post Office"".",https://api.congress.gov/v3/bill/117/hr/2473?format=xml
5650,HR,117,"To designate the facility of the United States Postal Service located at 16605 East Avenue of the Fountains in Fountain Hills, Arizona, as the ""Dr. C.T. Wright Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5650?format=xml
5794,HR,117,"To designate the facility of the United States Postal Service located at 850 Walnut Street in McKeesport, Pennsylvania, as the ""First Sergeant Leonard A. Funk, Jr. Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5794?format=xml
5271,HR,117,"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the ""Thelma Harper Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5271?format=xml
5865,HR,117,"To designate the facility of the United States Postal Service located at 4110 Bluebonnet Drive in Stafford, Texas, as the ""Leonard Scarcella Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5865?format=xml
2724,HR,117,VA Peer Support Enhancement for MST Survivors Act,https://api.congress.gov/v3/bill/117/hr/2724?format=xml
5349,HR,117,"To designate the facility of the United States Postal Service located at 1550 State Road S-38-211 in Orangeburg, South Carolina, as the ""J.I. Washington Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5349?format=xml
5659,HR,117,"To designate the facility of the United States Postal Service located at 1961 North C Street in Oxnard, California, as the ""John R. Hatcher III Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/5659?format=xml
6220,HR,117,"To designate the facility of the United States Postal Service located at 100 3rd Avenue Northwest in Perham, Minnesota, as the ""Charles P. Nord Post Office"".",https://api.congress.gov/v3/bill/117/hr/6220?format=xml
4899,HR,117,"To designate the facility of the United States Postal Service located at 10 Broadway Street West, in Akeley, Minnesota, as the ""Neal Kenneth Todd Post Office"".",https://api.congress.gov/v3/bill/117/hr/4899?format=xml
7181,HR,117,Human Trafficking Prevention Act of 2022,https://api.congress.gov/v3/bill/117/hr/7181?format=xml
4881,HR,117,Old Pascua Community Land Acquisition Act,https://api.congress.gov/v3/bill/117/hr/4881?format=xml
7299,HR,117,SVAC Act of 2022,https://api.congress.gov/v3/bill/117/hr/7299?format=xml
4622,HR,117,"To designate the facility of the United States Postal Service located at 226 North Main Street in Roseville, Ohio, as the ""Ronald E. Rosser Post Office"".",https://api.congress.gov/v3/bill/117/hr/4622?format=xml
4250,HR,117,War Crimes Rewards Expansion Act,https://api.congress.gov/v3/bill/117/hr/4250?format=xml
6080,HR,117,"To designate the facility of the United States Postal Service located at 5420 Kavanaugh Boulevard in Little Rock, Arkansas, as the ""Ronald A. Robinson Post Office"".",https://api.congress.gov/v3/bill/117/hr/6080?format=xml
6218,HR,117,"To designate the facility of the United States Postal Service located at 317 Blattner Drive in Avon, Minnesota, as the ""W.O.C. Kort Miller Plantenberg Post Office"".",https://api.congress.gov/v3/bill/117/hr/6218?format=xml
6064,HR,117,"To direct the Secretary of Veterans Affairs to seek to enter into an agreement with the National Academies of Sciences, Engineering, and Medicine for a review of examinations, furnished by the Secretary, to individuals who submit claims to the Secretary for compensation under chapter 11 of title 38, United States Code, for mental and physical conditions linked to military sexual trauma.",https://api.congress.gov/v3/bill/117/hr/6064?format=xml
6221,HR,117,"To designate the facility of the United States Postal Service located at 155 Main Avenue West in Winsted, Minnesota, as the ""James A. Rogers Jr. Post Office"".",https://api.congress.gov/v3/bill/117/hr/6221?format=xml
6267,HR,117,"To designate the facility of the United States Postal Service located at 15 Chestnut Street in Suffern, New York, as the ""Sergeant Gerald T. 'Jerry' Donnellan Post Office"".",https://api.congress.gov/v3/bill/117/hr/6267?format=xml
6427,HR,117,Red River National Wildlife Refuge Boundary Modification Act,https://api.congress.gov/v3/bill/117/hr/6427?format=xml
5973,HR,117,Great Lakes Fish and Wildlife Restoration Reauthorization Act of 2022,https://api.congress.gov/v3/bill/117/hr/5973?format=xml
6042,HR,117,"To designate the facility of the United States Postal Service located at 213 William Hilton Parkway in Hilton Head Island, South Carolina, as the ""Caesar H. Wright Jr. Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6042?format=xml
6961,HR,117,Dignity for MST Survivors Act,https://api.congress.gov/v3/bill/117/hr/6961?format=xml
6917,HR,117,"To designate the facility of the United States Postal Service located at 301 East Congress Parkway in Crystal Lake, Illinois, as the ""Ryan J. Cummings Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6917?format=xml
5952,HR,117,"To designate the facility of the United States Postal Service located at 123 East Main Street, in Vergas, Minnesota, as the ""Jon Glawe Post Office"".",https://api.congress.gov/v3/bill/117/hr/5952?format=xml
5943,HR,117,"To designate the outpatient clinic of the Department of Veterans Affairs in Greenville, South Carolina, as the ""Lance Corporal Dana Cornell Darnell VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/5943?format=xml
5900,HR,117,"To designate the facility of the United States Postal Service located at 2016 East 1st Street in Los Angeles, California, as the ""Marine Corps Reserve PVT Jacob Cruz Post Office"".",https://api.congress.gov/v3/bill/117/hr/5900?format=xml
5961,HR,117,"To make revisions in title 5, United States Code, as necessary to keep the title current, and to make technical amendments to improve the United States Code.",https://api.congress.gov/v3/bill/117/hr/5961?format=xml
7735,HR,117,Improving Access to the VA Home Loan Benefit Act of 2022,https://api.congress.gov/v3/bill/117/hr/7735?format=xml
7638,HR,117,"To designate the facility of the United States Postal Service located at 6000 South Florida Avenue in Lakeland, Florida, as the ""U.S. Marine Corporal Ronald R. Payne Jr. Post Office"".",https://api.congress.gov/v3/bill/117/hr/7638?format=xml
7519,HR,117,"To designate the facility of the United States Postal Service located at 2050 South Boulevard in Bloomfield Township, Michigan, as the ""Dr. Ezra S. Parke Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/7519?format=xml
7518,HR,117,"To designate the facility of the United States Postal Service located at 23200 John R Road in Hazel Park, Michigan, as the ""Roy E. Dickens Post Office"".",https://api.congress.gov/v3/bill/117/hr/7518?format=xml
6630,HR,117,"To designate the facility of the United States Postal Service located at 1400 N Kraemer Blvd. in Placentia, California, as the ""PFC Jang Ho Kim Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6630?format=xml
7514,HR,117,"To designate the facility of the United States Postal Service located at 345 South Main Street in Butler, Pennsylvania, as the ""Andrew Gomer Williams Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/7514?format=xml
7335,HR,117,MST Claims Coordination Act,https://api.congress.gov/v3/bill/117/hr/7335?format=xml
3285,HR,117,21st Century President Act,https://api.congress.gov/v3/bill/117/hr/3285?format=xml
441,HR,117,Don Young Alaska Native Health Care Land Transfers Act of 2022,https://api.congress.gov/v3/bill/117/hr/441?format=xml
203,HR,117,"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the ""Benny C. Martinez Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/203?format=xml
1095,HR,117,"To designate the facility of the United States Postal Service located at 101 South Willowbrook Avenue in Compton, California, as the ""PFC James Anderson, Jr., Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/1095?format=xml
478,HR,117,Blackwater Trading Post Land Transfer Act,https://api.congress.gov/v3/bill/117/hr/478?format=xml
785,HR,117,"For the relief of Maria Isabel Bueso Barrera, Alberto Bueso Mendoza, and Karla Maria Barrera De Bueso.",https://api.congress.gov/v3/bill/117/hr/785?format=xml
681,HR,117,For the relief of Rebecca Trimble.,https://api.congress.gov/v3/bill/117/hr/681?format=xml
3875,S,117,Community Disaster Resilience Zones Act of 2022,https://api.congress.gov/v3/bill/117/s/3875?format=xml
1617,S,117,Disaster Assistance for Rural Communities Act,https://api.congress.gov/v3/bill/117/s/1617?format=xml
314,S,117,Klamath Tribe Judgment Fund Repeal Act,https://api.congress.gov/v3/bill/117/s/314?format=xml
3092,S,117,FIRE Act,https://api.congress.gov/v3/bill/117/s/3092?format=xml
3115,S,117,POWER 2.0 Act,https://api.congress.gov/v3/bill/117/s/3115?format=xml
4834,S,117,PROTECT Our Children Act of 2022,https://api.congress.gov/v3/bill/117/s/4834?format=xml
3662,S,117,Preventing PFAS Runoff at Airports Act,https://api.congress.gov/v3/bill/117/s/3662?format=xml
3462,HR,117,SBA Cyber Awareness Act,https://api.congress.gov/v3/bill/117/hr/3462?format=xml
3499,S,117,"A bill to amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes.",https://api.congress.gov/v3/bill/117/s/3499?format=xml
2220,HR,117,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",https://api.congress.gov/v3/bill/117/hr/2220?format=xml
310,HR,117,"To posthumously award the Congressional Gold Medal, collectively, to Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith, in recognition of their contributions to the Nation.",https://api.congress.gov/v3/bill/117/hr/310?format=xml
2796,S,117,Rural Opioid Abuse Prevention Act,https://api.congress.gov/v3/bill/117/s/2796?format=xml
7535,HR,117,Quantum Computing Cybersecurity Preparedness Act,https://api.congress.gov/v3/bill/117/hr/7535?format=xml
2930,HR,117,Safeguard Tribal Objects of Patrimony Act of 2021,https://api.congress.gov/v3/bill/117/hr/2930?format=xml
5796,HR,117,Patents for Humanity Act of 2022,https://api.congress.gov/v3/bill/117/hr/5796?format=xml
263,HR,117,Big Cat Public Safety Act,https://api.congress.gov/v3/bill/117/hr/263?format=xml
231,S,117,PFAS Act,https://api.congress.gov/v3/bill/117/s/231?format=xml
198,S,117,Data Mapping to Save Moms' Lives Act,https://api.congress.gov/v3/bill/117/s/198?format=xml
1193,HR,117,Cardiovascular Advances in Research and Opportunities Legacy Act,https://api.congress.gov/v3/bill/117/hr/1193?format=xml
7077,HR,117,Empowering the U.S. Fire Administration Act,https://api.congress.gov/v3/bill/117/hr/7077?format=xml
5060,S,117,Paul D. Wellstone Building Act of 2022,https://api.congress.gov/v3/bill/117/s/5060?format=xml
6863,HR,117,"To designate the medical center of the Department of Veterans Affairs in Memphis, Tennessee, as the ""Lt. Col. Luke Weathers, Jr. VA Medical Center"".",https://api.congress.gov/v3/bill/117/hr/6863?format=xml
7903,HR,117,"To designate the Department of Veterans Affairs community-based outpatient clinic located in Canton, Michigan, as the ""Major General Oliver W. Dillard VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/7903?format=xml
6722,HR,117,"To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/6722?format=xml
3825,S,117,"A bill to designate the facility of the United States Postal Service located at 3903 Melear Drive in Arlington, Texas, as the ""Ron Wright Post Office Building"".",https://api.congress.gov/v3/bill/117/s/3825?format=xml
4017,S,117,"A bill to designate the United States courthouse located at 111 South Highland Avenue in Jackson, Tennessee, as the ""James D. Todd United States Courthouse"", and for other purposes.",https://api.congress.gov/v3/bill/117/s/4017?format=xml
4052,S,117,Early Hearing Detection and Intervention Act of 2022,https://api.congress.gov/v3/bill/117/s/4052?format=xml
6614,HR,117,"To designate the facility of the United States Postal Service located at 4744 Grand River Avenue in Detroit, Michigan, as the ""Rosa Louise McCauley Parks Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/6614?format=xml
228,HR,117,"To designate the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the ""Norma Comnick Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/228?format=xml
700,HR,117,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office"".",https://api.congress.gov/v3/bill/117/hr/700?format=xml
3175,HR,117,"To designate the facility of the United States Postal Service located at 135 Main Street in Biloxi, Mississippi, as the ""Robert S. McKeithen Post Office Building"".",https://api.congress.gov/v3/bill/117/hr/3175?format=xml
5481,HR,117,"To name the Department of Veterans Affairs community-based outpatient clinic in Forest City,   North Carolina, as the ""Master Sergeant Jerry K. Crump VA Clinic"".",https://api.congress.gov/v3/bill/117/hr/5481?format=xml
4359,S,117,Senator Johnny Isakson VA Regional Office Act of 2022,https://api.congress.gov/v3/bill/117/s/4359?format=xml
3369,S,117,Max Cleland VA Medical Center Act,https://api.congress.gov/v3/bill/117/s/3369?format=xml
521,HR,117,First Responder Fair RETIRE Act,https://api.congress.gov/v3/bill/117/hr/521?format=xml
4524,S,117,Speak Out Act,https://api.congress.gov/v3/bill/117/s/4524?format=xml
2159,S,117,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs located at 400 College Drive, Middleburg, Florida, as the ""Andrew K. Baker Department of Veterans Affairs Clinic"", and for other purposes.",https://api.congress.gov/v3/bill/117/s/2159?format=xml
3510,S,117,Disaster Resiliency Planning Act,https://api.congress.gov/v3/bill/117/s/3510?format=xml
3655,S,117,Civil Rights Cold Case Investigations Support Act of 2022,https://api.congress.gov/v3/bill/117/s/3655?format=xml
3826,S,117,"A bill to designate the facility of the United States Postal Service located at 1304 4th Avenue in Canyon, Texas, as the ""Gary James Fletcher Post Office Building"".",https://api.congress.gov/v3/bill/117/s/3826?format=xml
3884,S,117,"A bill to designate the facility of the United States Postal Service located at 404 U.S. Highway 41 North in Baraga, Michigan, as the ""Cora Reynolds Anderson Post Office"".",https://api.congress.gov/v3/bill/117/s/3884?format=xml
100,HJRES,117,To provide for a resolution with respect to the unresolved disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and certain of their employees.,https://api.congress.gov/v3/bill/117/hjres/100?format=xml
4693,HR,117,Global Malnutrition Prevention and Treatment Act of 2021,https://api.congress.gov/v3/bill/117/hr/4693?format=xml
2771,S,117,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in San Angelo, Texas, as the ""Colonel Charles and JoAnne Powell Department of Veterans Affairs Clinic"".",https://api.congress.gov/v3/bill/117/s/2771?format=xml
4205,S,117,PAW Act,https://api.congress.gov/v3/bill/117/s/4205?format=xml
4791,S,117,"A bill to amend section 301 of title 44, United States Code, to establish a term for the appointment of the Director of the Government Publishing Office.",https://api.congress.gov/v3/bill/117/s/4791?format=xml
2794,S,117,Supporting Families of the Fallen Act,https://api.congress.gov/v3/bill/117/s/2794?format=xml
442,S,117,BRIGHT Act,https://api.congress.gov/v3/bill/117/s/442?format=xml
958,S,117,Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act,https://api.congress.gov/v3/bill/117/s/958?format=xml
1198,S,117,Solid Start Act of 2022,https://api.congress.gov/v3/bill/117/s/1198?format=xml
516,S,117,Advanced Air Mobility Coordination and Leadership Act,https://api.congress.gov/v3/bill/117/s/516?format=xml
2490,S,117,Blackwell School National Historic Site Act,https://api.congress.gov/v3/bill/117/s/2490?format=xml
169,S,117,ARTS Act,https://api.congress.gov/v3/bill/117/s/169?format=xml
2551,S,117,AI Training Act,https://api.congress.gov/v3/bill/117/s/2551?format=xml
